,,Bron ABR+: export_AbrComplextypen_20150429T1621.xlsx,
NHT,BEWV.HT,c9f368dc-81e5-4d82-8f8f-8f7349a2f506,huisterp / huiswierde
NKD,BEWV.VIC,1ca6c6a5-074e-459d-ac70-b07fc3370a0a,vicus
NWD,BEWV.VIC,1ca6c6a5-074e-459d-ac70-b07fc3370a0a,vicus
NRV,BEWV.RV,d2b65eb1-7f9a-4c36-9b6b-4a142a8e1c3c,(romeinse) villa
NS,BEWV.SK,689ebb47-4f4b-41be-8b5a-cedcf4786363,nederzetting met stedelijk karakter
NT,BEWV.TW,005b7f75-23bf-4d6f-8ab5-ac741e55a1ed,terp / wierde
NVB,BEWV.MBH,0ad357a0-a73f-4dbd-bd22-b8967e90e9a1,moated site
NVH,BEWV.MBH,0ad357a0-a73f-4dbd-bd22-b8967e90e9a1,moated site
NMS,BEWV.MBH,0ad357a0-a73f-4dbd-bd22-b8967e90e9a1,moated site
NX,BEWV.X,2179d872-888f-4807-a6d5-5e5afaa616c4,bewoning (inclusief verdediging)
RCP,CTHD.RCP,c45892a6-982c-4f1e-b4e5-fc4bd19c7e14,cultusplaats / heiligom / tempel
RKAP,CTHD.KPL,2ac4deb4-a12a-4aa1-baa1-496b0e649941,kapel
RKER,CTHD.KERK,9d92bd03-6414-4bf9-bbc3-c948c5389f3b,kerk
RKLO,CTHD.KLO,28e58033-875e-4f90-baa2-7b1c1c147574,klooster
RX,CTHD.X,fc569e62-6d9a-4878-9cbc-baa5d23452d9,cultus / heiligdom
VK,BEWV.KWB,052b197f-b720-404a-8199-00d5451041e3,kasteel
VKW,BEWV.KWB,052b197f-b720-404a-8199-00d5451041e3,kasteel
VKM,BEWV.VKM,c83b4c13-679c-4a02-a996-80afb6af2a78,mottekasteel
VLP,BEWV.VLP,d8f8683f-0d24-4f13-b573-76edf8b75733,legerplaats
VLW,BEWV.LW,0bd164a6-75cf-4af7-90e0-15c9b3c45db9,landweer
VSCH,BEWV.SCH,93bcdb92-3d09-4984-b11c-01c7d3845faa,schans
VWB,BEWV.WB,1b5b4dd1-f4f8-4e4c-9108-a6fb2c606cde,(ring)walburg
VWP,BEWV.WP,8207e651-b143-428a-a92e-d1a5a98ba002,burgus / wachtpost
VX,BEWV.VX,755ec670-c9d0-4bc8-bf38-1083b7c12155,versterking onbepaald
XXX,XXX,5fbda024-be3e-47ac-a6c8-1c58d2cf5ccc,complextype niet te bepalen
