cd0aec40-e199-43d7-927b-ee12f1fe7a31,"ADC-rapport","adc[^a-z]+rapport[a-z]*"
dfd7f0b8-3423-410e-ad10-5f740906c1da,"ADT-rapport","adt[^a-z]+rapport[a-z]*"
351707da-ab1d-438e-9d42-915d785594b3,"Aeres-Milieu Rapport","aeres[^a-z]+milieu[^a-z]+rapport[a-z]*"
8e84ebc8-f379-4056-b171-8fbf54a76f15,"Aestimatica-rapport","aestimatica[^a-z]+rapport[a-z]*"
6826d9aa-2b50-4f90-bc8c-902c56d75d22,"Alkmaar, Monumentenzorg en Archeologie Gemeente","alkmaar[a-z]+[^a-z]+monumentenzorg[^a-z]+en[^a-z]+ar(ch|g)a?eologi[a-z][^a-z]+gemeente"
05c754af-7944-4971-8280-9e1b4e474a8d,"Rapporten over Alkmaarse Monumenten en Archeologie","(rapporten[^a-z]+over[^a-z]+(de[^a-z]+)?alkmaar[a-z]+[^a-z]+monument[a-z]+[^a-z]+en[^a-z]+ar(ch|g)a?eologi[a-z]+([^a-z]*rama)?|rama)"
80fa696c-0f63-4e3a-b232-29aae9fd29bf,"Almere, Archeologische Rapporten","(almere[^a-z]+ar(ch|g)a?eologi[a-z]+[^a-z]+rapport[a-z]*[a-z]|ar(ch|g)a?eologi[a-z]+[^a-z]+rapport[a-z]*[a-z][^a-z]+almere)"
b3251316-779a-45d2-a2ab-f451177cc7d4,"Amersfoort onder ons","amersfoort[^a-z]+onder[^a-z]+ons"
43c31797-9f01-43c0-bf4a-975dc2581d31,"Amersfoort, Rapport Sectie Archeologie Gemeente","amersfoort[^a-z]+rapport[a-z]*[^a-z]+sectie[^a-z]+ar(ch|g)a?eologi[a-z][^a-z]+gemeente"
2859427b-7533-492c-bba8-421a78d82c9d,"Amsterdam, Rapport Universiteit van","amsterdam[^a-z]+rapport[a-z]*[^a-z]+universiteit[^a-z]+van"
45ae47be-8bfa-4a58-b33c-5c531be90cbb,"Amsterdam, Rapport Vrije Universiteit van","amsterdam[^a-z]+rapport[a-z]*[^a-z]+vrije[^a-z]+universiteit[^a-z]+van"
7e7cd268-4b95-4ba6-8a78-9b0034ceed57,"Amsterdamse Archeologisch Rapporten","amsterdamse[^a-z]+ar(ch|g)a?eologisch[^a-z]+rapport[a-z]*en"
7256dda8-cf2f-4dd3-8ec4-39f7c3d980ae,"Antea Group Archeologie-rapport","antea[^a-z]+group[^a-z]+ar(ch|g)a?eologi[a-z][^a-z]+rapport[a-z]*"
d18d4a02-537f-4222-afdc-2e379d45e10d,"Apeldoorn, Rapport Gemeente","apeldoorn[^a-z]+rapport[a-z]*[^a-z]+gemeente"
552eb95d-19c7-4c98-9783-b1039dd303bd,"ARC-briefrapport","arc[^a-z]+briefrapport"
1f2b4459-1689-432c-a689-f6a26877fc1b,"ARC-Publicaties","arc[^a-z]+publicatie[a-z]*"
bc93e5a1-cc0c-47fc-9358-b94ad440a7c1,"ARC-rapport","arc[^a-z]+rapport[a-z]*"
951c69db-df65-4bf4-a2c1-8222e206e278,"Arcadis-rapport","arcadis[^a-z]+rapport[a-z]*"
96637b15-f176-4ee0-9601-a6a9238459bb,"ArchAeO-rapport","archaeo[^a-z]+rapport[a-z]*"
26f34a7b-91d5-4103-ad25-fb24aeb82657,"Archeocoach-rapport","ar(ch|g)a?eocoach[^a-z]+rapport[a-z]*"
565dc087-23e1-451c-9de8-54de333896db,"Archeodienst-rapport","ar(ch|g)a?eodienst[^a-z]+rapport[a-z]*"
6ee7ae29-c10d-437d-a403-ea4285528e15,"Archeologie West Friesland rapporten","ar(ch|g)a?eologi[a-z][^a-z]+west[^a-z]+friesland[^a-z]+rapport[a-z]*en"
1bb72ccc-b51a-44db-8ebb-3c98db0a82ea,"Archeologische Kroniek Haarlem","ar(ch|g)a?eologi[a-z]+[^a-z]+kroniek[^a-z]+haarlem"
